request_id,profile,phase,timestamp_sent,timestamp_received,latency_ms,http_status,error
34,burst,spike,1777001398.8970711,1777001399.384685,487.6139163970947,200,
35,burst,spike,1777001398.8990521,1777001399.3916328,492.5806522369385,200,
36,burst,spike,1777001398.901081,1777001399.3917272,490.6461238861084,200,
37,burst,spike,1777001398.903113,1777001399.391566,488.4531497955322,200,
38,burst,spike,1777001398.904945,1777001399.4207969,515.8519744873047,200,
39,burst,spike,1777001398.9085598,1777001399.3997078,491.1479949951172,200,
40,burst,spike,1777001398.9097788,1777001399.418887,509.1080665588379,200,
41,burst,spike,1777001398.912798,1777001399.416992,504.1940212249756,200,
42,burst,spike,1777001398.913881,1777001399.426463,512.5818252563477,200,
43,burst,spike,1777001398.915173,1777001399.440276,525.1028537750244,200,
44,burst,spike,1777001398.917042,1777001399.3910651,474.02310371398926,200,
45,burst,spike,1777001398.919026,1777001399.4229388,503.91292572021484,200,
46,burst,spike,1777001398.921025,1777001399.425306,504.28104400634766,200,
47,burst,spike,1777001398.922938,1777001399.430984,508.04591178894043,200,
48,burst,spike,1777001398.924882,1777001399.432683,507.8010559082031,200,
49,burst,spike,1777001398.9270551,1777001399.422831,495.7759380340576,200,
50,burst,spike,1777001398.9290218,1777001399.4168372,487.81538009643555,200,
51,burst,spike,1777001398.9308648,1777001399.440209,509.34410095214844,200,
52,burst,spike,1777001398.932933,1777001399.416967,484.03382301330566,200,
53,burst,spike,1777001398.9349692,1777001399.3997471,464.77794647216797,200,
54,burst,spike,1777001398.9414861,1777001399.432915,491.4288520812988,200,
55,burst,spike,1777001398.941644,1777001399.4170518,475.40783882141113,200,
56,burst,spike,1777001398.9455202,1777001399.425256,479.7358512878418,200,
57,burst,spike,1777001398.94562,1777001399.4330938,487.473726272583,200,
58,burst,spike,1777001398.947138,1777001399.433056,485.9180450439453,200,
59,burst,spike,1777001398.947368,1777001399.412488,465.1200771331787,200,
60,burst,spike,1777001398.950528,1777001399.4401522,489.6242618560791,200,
61,burst,spike,1777001398.951169,1777001399.432885,481.7159175872803,200,
62,burst,spike,1777001398.9539258,1777001399.577964,624.0382194519043,200,
63,burst,spike,1777001398.9555042,1777001399.451224,495.71990966796875,200,
64,burst,spike,1777001398.9569569,1777001399.433951,476.9940376281738,200,
65,burst,spike,1777001398.9590778,1777001399.4594822,500.40435791015625,200,
66,burst,spike,1777001398.960989,1777001399.425283,464.2939567565918,200,
67,burst,spike,1777001398.963788,1777001399.4512472,487.4591827392578,200,
68,burst,spike,1777001398.9648588,1777001399.3182762,353.41739654541016,200,
69,burst,spike,1777001398.967016,1777001399.450994,483.9780330657959,200,
70,burst,spike,1777001398.9693718,1777001399.456873,487.5011444091797,200,
71,burst,spike,1777001398.9709,1777001399.451123,480.2229404449463,200,
72,burst,spike,1777001398.973854,1777001399.57825,604.395866394043,200,
73,burst,spike,1777001398.9748359,1777001399.451348,476.51219367980957,200,
74,burst,spike,1777001398.976854,1777001399.59105,614.1958236694336,200,
75,burst,spike,1777001398.978851,1777001399.4513721,472.5210666656494,200,
76,burst,spike,1777001398.9808378,1777001399.420823,439.9852752685547,200,
77,burst,spike,1777001398.983008,1777001399.452367,469.3591594696045,200,
78,burst,spike,1777001398.984873,1777001399.474017,489.14384841918945,200,
79,burst,spike,1777001398.9868422,1777001399.453343,466.50075912475586,200,
80,burst,spike,1777001398.989009,1777001399.47415,485.1410388946533,200,
81,burst,spike,1777001398.990859,1777001399.589291,598.4320640563965,200,
82,burst,spike,1777001398.993657,1777001399.4595919,465.93475341796875,200,
83,burst,spike,1777001398.994807,1777001399.470121,475.3139019012451,200,
84,burst,spike,1777001398.997026,1777001399.461617,464.59102630615234,200,
85,burst,spike,1777001398.999306,1777001399.490987,491.6810989379883,200,
86,burst,spike,1777001399.000931,1777001399.469957,469.0260887145996,200,
87,burst,spike,1777001399.0036201,1777001399.4958599,492.23971366882324,200,
