request_id,function_label,phase,timestamp_sent,timestamp_received,latency_ms,http_status,lambda_request_id,error,response_snippet,execution_ms,memory_used_mb,cost_usd
85,exp1-java-arm,warmup,1777022552.064978,1777022552.326884,261.9061470031738,200,6b7cee07-5fd9-45df-9dc4-830aae0ff690,,,222.880,160.217,0.0000048986
61,exp1-java-arm,warmup,1777022550.865246,1777022552.36176,1496.513843536377,200,b4f21aee-4f80-4498-9551-f88cf918b146,,,222.440,164.032,0.0000048986
86,exp1-java-arm,warmup,1777022552.1157382,1777022552.381711,265.9728527069092,200,6f1b99de-3bb2-4281-b018-af42e681eea3,,,224.940,165.939,0.0000049426
87,exp1-java-arm,warmup,1777022552.1649761,1777022552.401074,236.0978126525879,200,387b1443-58a4-4707-996f-45d480a53380,,,191.900,164.032,0.0000042176
88,exp1-java-arm,warmup,1777022552.216893,1777022552.501056,284.1629981994629,200,7a7ae898-950e-43dc-90ee-a1ac0eb95a9f,,,249.440,164.032,0.0000054917
52,exp1-java-arm,warmup,1777022550.4161139,1777022552.50311,2086.996078491211,200,61d2addb-71e3-4c47-bd7b-08f04497b8a9,,,173.140,160.217,0.0000038222
89,exp1-java-arm,warmup,1777022552.265374,1777022552.528827,263.45300674438477,200,1111b8ab-819d-4122-be9c-c99d7dd85ecc,,,226.640,162.125,0.0000049865
18,exp1-java-arm,warmup,1777022548.716855,1777022552.5368068,3819.9517726898193,200,cd50d14a-fe78-4a5d-9d68-2064602093be,,,205.650,164.032,0.0000045252
26,exp1-java-arm,warmup,1777022549.11685,1777022552.572937,3456.087112426758,200,2df42065-248c-4a17-a625-b1e01d4357e1,,,201.620,164.032,0.0000044373
90,exp1-java-arm,warmup,1777022552.31568,1777022552.579786,264.10603523254395,200,084cfd8e-d9bf-4f70-9505-e99ba450b8fa,,,228.060,164.032,0.0000050304
91,exp1-java-arm,warmup,1777022552.36565,1777022552.6080158,242.36583709716797,200,0775a365-0ee7-47a9-8065-8573ac073868,,,207.150,165.939,0.0000045691
17,exp1-java-arm,warmup,1777022548.666844,1777022552.680193,4013.3490562438965,429,817c809c-b632-4d5b-aeca-ef06dab390dc,HTTP 429,"{""Reason"":""ConcurrentInvocationLimitExceeded"",""Type"":""User"",""message"":""Rate Exceeded.""}",,,
92,exp1-java-arm,warmup,1777022552.416908,1777022552.693901,276.9930362701416,200,6cd0545c-539d-4323-9d81-81bfe54763e4,,,238.210,164.032,0.0000052501
25,exp1-java-arm,warmup,1777022549.0668259,1777022552.6946418,3627.8159618377686,429,02a9ee17-2d9e-4056-95b1-0be6e83c4edf,HTTP 429,"{""Reason"":""ConcurrentInvocationLimitExceeded"",""Type"":""User"",""message"":""Rate Exceeded.""}",,,
93,exp1-java-arm,warmup,1777022552.465137,1777022552.6966772,231.54020309448242,200,31a18af5-2964-428d-a963-111f4e746a75,,,198.030,162.125,0.0000043714
11,exp1-java-arm,warmup,1777022548.366837,1777022552.7108579,4344.020843505859,200,acdecc2a-e61e-4cba-9ef2-9f0286599283,,,251.520,164.032,0.0000055357
94,exp1-java-arm,warmup,1777022552.516903,1777022552.783859,266.956090927124,200,d88a42ee-4660-4120-9cc0-43f4c4552e1f,,,215.850,160.217,0.0000047449
19,exp1-java-arm,warmup,1777022548.7668202,1777022552.7878242,4021.0039615631104,200,a5eb2722-ec9c-4ab5-ad75-d9e661877492,,,231.390,162.125,0.0000050963
62,exp1-java-arm,warmup,1777022550.914986,1777022552.7904398,1875.4539489746094,200,5178c4ec-fb9b-4c79-896e-f1af81894933,,,222.460,164.032,0.0000048986
20,exp1-java-arm,warmup,1777022548.8161669,1777022552.8072581,3991.091251373291,200,dd474372-7cf2-4328-8e04-dfebf8ad69a9,,,221.960,164.032,0.0000048767
