request_id,function_label,phase,timestamp_sent,timestamp_received,latency_ms,http_status,lambda_request_id,error,response_snippet
156,exp1-go-arm,warmup,1777021554.983902,1777021555.1157818,131.8798065185547,200,5d05bb9d-5bac-4181-a03a-8fedf7f145a4,,
157,exp1-go-arm,warmup,1777021555.033283,1777021555.160813,127.53009796142578,200,d310f8f7-bfb7-48db-9fbe-f0377427f764,,
158,exp1-go-arm,warmup,1777021555.083946,1777021555.238145,154.19912338256836,200,e31c8a27-3b63-46c2-b333-c121cbe3b77c,,
159,exp1-go-arm,warmup,1777021555.134047,1777021555.2557418,121.69480323791504,200,15cd94b9-f53c-4456-a101-9ae1c0d8585d,,
160,exp1-go-arm,warmup,1777021555.183795,1777021555.320769,136.97409629821777,200,74816469-3f2f-417b-b217-e341e3a3a933,,
161,exp1-go-arm,warmup,1777021555.2339919,1777021555.404641,170.64905166625977,200,e962ed0e-f63f-416f-9cfa-693f711b8259,,
162,exp1-go-arm,warmup,1777021555.284058,1777021555.4280472,143.98908615112305,200,ca35ea11-3382-4847-95b8-d195d4bc2d5c,,
163,exp1-go-arm,warmup,1777021555.333529,1777021555.4980931,164.5641326904297,200,2bb06452-8dc6-4881-aea2-95ad197394d3,,
164,exp1-go-arm,warmup,1777021555.3837152,1777021555.51491,131.1948299407959,200,61db853f-5931-41f9-a392-e64287d3ed4b,,
165,exp1-go-arm,warmup,1777021555.433528,1777021555.5731719,139.64390754699707,200,d7d28b65-e014-4854-b2bf-ee3b9008c8e0,,
166,exp1-go-arm,warmup,1777021555.483399,1777021555.649315,165.91620445251465,200,af3cf8d6-5b8f-4302-a646-ccb9a56cadee,,
167,exp1-go-arm,warmup,1777021555.5340002,1777021555.670465,136.46483421325684,200,872d8149-df8d-4e26-b712-d86df42d5d8e,,
168,exp1-go-arm,warmup,1777021555.584023,1777021555.7273338,143.3107852935791,200,cc79d2a6-9c5c-4be9-b6cb-a03d618b3293,,
169,exp1-go-arm,warmup,1777021555.633153,1777021555.7763588,143.2058811187744,200,48ba803d-2064-4e22-82c5-f9640f5366c1,,
170,exp1-go-arm,warmup,1777021555.6839428,1777021555.829461,145.51830291748047,200,fd5e5432-5a40-491f-92e2-a2f9e75badc3,,
171,exp1-go-arm,warmup,1777021555.7336771,1777021555.870792,137.1147632598877,200,93082e9d-2b24-4160-b9a0-7f2e9b447b31,,
172,exp1-go-arm,warmup,1777021555.783751,1777021555.914706,130.95498085021973,200,2a521fc8-4569-48f5-90e4-d85984b2632e,,
173,exp1-go-arm,warmup,1777021555.8331342,1777021555.9896162,156.48198127746582,200,a334d306-d66b-45f5-b31a-baa6bb768966,,
